Description,Price,Rating,ReviewCount,URL
ISC 16~300mm² Professional Quality Hydraulic Crimping Tool YQK-300 Manual Hydraulic Crimper,"₹6,499",,,https://www.amazon.in//ISC-16-300mm%C2%B2-Professional-Hydraulic-Crimping/dp/B086CX59X7/ref=sr_1_47?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288487&sr=8-47
A&S TOOL SHOP Quick Hydraulic Crimping Tools Kit 10-300 sq mm (12 Set of Dies),"₹3,595",,,https://www.amazon.in//TOOL-SHOP-Hydraulic-Crimping-10-300/dp/B07SRVDHRN/ref=sr_1_48?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288487&sr=8-48
"Digital Craft 1 PCS Hydraulic Crimping Tool 16-300mm2 for Copper, Aluminum Terminal Pliers YQK-300 Hydraulic New Manual Hydraulic Crimper","₹4,199",,,https://www.amazon.in//Digital-Craft-Hydraulic-Crimping-16-300mm2/dp/B082RFVVL8/ref=sr_1_49?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288487&sr=8-49
"ISC Hydraulic Crimping Tool 16-300mm² for Copper, Aluminum Terminal Pliers with Combo 300mm² Manual Hydraulic Crimper","₹4,999",,,https://www.amazon.in//ISC-Hydraulic-Crimping-16-300mm%C2%B2-Aluminum/dp/B086CY3YVQ/ref=sr_1_50?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288487&sr=8-50
"Taparia CW7981 Steel (17 x 19 mm, 18 x 21 mm) Cross Rim Wrench (Silver)",₹370,4.5 out of 5 stars,434,https://www.amazon.in//Taparia-CW7981-Steel-Wrench-Silver/dp/B00QIK4PW0/ref=sr_1_51?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288487&sr=8-51
SIBASS 300 mm Hydraulic Crimping Tool,"₹5,984",,,https://www.amazon.in//SIBASS-300-Hydraulic-Crimping-Tool/dp/B08281V574/ref=sr_1_52?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288487&sr=8-52
"FEDUS Cable Tester RJ45 Tool kit Crimping Tool 100 pcs RJ45 CAT5 Connectors, Network Wire Stripper",₹649,4.1 out of 5 stars,20,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A02604201LC0HFYB1BFDA&url=%2FFEDUS-Crimping-Crimper-Connectors-Stripper%2Fdp%2FB085RZQWSH%2Fref%3Dsr_1_53_sspa%3Fdchild%3D1%26keywords%3Dhydraulic%2Bcrimping%2Btool%26qid%3D1606288487%26sr%3D8-53-spons%26psc%3D1&qualifier=1606288487&id=6554650182597972&widgetName=sp_btf
Ketsy 311 Hand Tool Kit 12 Pcs. (8 Pcs Screwdriver •1 Claw Hammer Steel Shaft ½ Lb •1 Combination Plier 8” •1 Wire Cutter 6” •1 Tool Bag),₹795,4.2 out of 5 stars,34,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0208862YC5ARP6KOKJX&url=%2FKetsy-Screwdriver-Hammer-Combination-Cutter%2Fdp%2FB082B6L6DK%2Fref%3Dsr_1_54_sspa%3Fdchild%3D1%26keywords%3Dhydraulic%2Bcrimping%2Btool%26qid%3D1606288487%26sr%3D8-54-spons%26psc%3D1&qualifier=1606288487&id=6554650182597972&widgetName=sp_btf
Stylera Carpenter Pincer for Cutting Pulling Nails & Multi Purpose Cobler Pincer Plier (Length : 8 inch / 200 mm) - Jamburo (8 Inch / 200 mm),₹199,,,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A09652982BB30ROHW27OT&url=%2FStylera-Carpenter-Cutting-Pulling-Purpose%2Fdp%2FB08HVQ5G44%2Fref%3Dsr_1_55_sspa%3Fdchild%3D1%26keywords%3Dhydraulic%2Bcrimping%2Btool%26qid%3D1606288487%26sr%3D8-55-spons%26psc%3D1&qualifier=1606288487&id=6554650182597972&widgetName=sp_btf
Stylera 6'' Sturdy Insulated Steel Side Cutting Plier (Lineman Type),₹199,5.0 out of 5 stars,1,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A09903221153NQNK0PVFT&url=%2FStylera-Sturdy-Insulated-Cutting-Lineman%2Fdp%2FB08HVQ73ZR%2Fref%3Dsr_1_56_sspa%3Fdchild%3D1%26keywords%3Dhydraulic%2Bcrimping%2Btool%26qid%3D1606288487%26sr%3D8-56-spons%26psc%3D1&qualifier=1606288487&id=6554650182597972&widgetName=sp_btf
